start: 1409838761289.592
GPU comm0 start: 1409838761292.602
GPU comm1 start: 1409838761358.567
CPU comm0 start: 1409838761358.821
GPU comm0 end: 1409838761395.593
GPU memcp start: 1409838761397.126
GPU memcp end: 1409838761403.755
GPU memcp start: 1409838761403.968
GPU memcp end: 1409838761410.12
GPU memcp start: 1409838761410.247
GPU memcp end: 1409838761416.591
GPU comm1 end: 1409838761416.874
GPU exe start: 1409838761416.962
CPU comm1 start: 1409838761422.982
GPU exe end: 1409838761423.731
GPU memcp start: 1409838761423.836
GPU memcp end: 1409838761423.981
GPU comm2 start: 1409838761424.006
CPU comm0 end: 1409838761460.731
CPU comm2 start: 1409838761485.754
CPU comm1 end: 1409838761525.109
CPU comm3 start: 1409838761550.353
CPU comm2 end: 1409838761588.538
CPU comm4 start: 1409838761614.145
CPU comm3 end: 1409838761651.218
CPU comm5 start: 1409838761677.788
CPU comm4 end: 1409838761714.833
CPU comm6 start: 1409838761741.809
CPU comm5 end: 1409838761781.634
CPU comm7 start: 1409838761806.734
CPU comm6 end: 1409838761843.904
CPU comm8 start: 1409838761869.929
CPU comm7 end: 1409838761906.36
CPU comm9 start: 1409838761933.496
CPU comm8 end: 1409838761976.167
CPU comm0 start: 1409838762000.074
CPU comm1 start: 1409838762000.182
CPU comm2 start: 1409838762000.291
CPU comm0 end: 1409838762000.346
CPU comm3 start: 1409838762000.384
CPU comm4 start: 1409838762000.532
CPU comm3 end: 1409838762000.689
CPU exe3 start: 1409838762000.757
CPU comm4 end: 1409838762000.84
CPU exe4 start: 1409838762000.934
CPU comm5 start: 1409838762000.695
CPU exe0 start: 1409838762000.451
CPU comm2 end: 1409838762000.543
CPU comm5 end: 1409838762001.267
CPU comm1 end: 1409838762000.448
CPU comm6 start: 1409838762001.137
CPU exe5 start: 1409838762001.337
CPU exe1 start: 1409838762001.375
CPU comm6 end: 1409838762001.56
CPU comm7 start: 1409838762001.418
CPU exe2 start: 1409838762001.275
CPU exe6 start: 1409838762001.612
CPU comm8 start: 1409838762001.829
CPU comm7 end: 1409838762002.219
CPU exe7 start: 1409838762002.29
CPU comm9 start: 1409838762002.294
CPU comm8 end: 1409838762002.44
CPU exe8 start: 1409838762002.615
GPU comm2 end: 1409838762004.599
GPU comm1 start: 1409838762021.142
GPU comm1 end: 1409838762021.372
GPU exe start: 1409838762021.424
GPU exe end: 1409838762032.608
GPU memcp start: 1409838762032.669
GPU memcp end: 1409838762032.854
GPU comm2 start: 1409838762032.874
CPU exe4 end: 1409838762043.768
CPU comm4 start: 1409838762043.9
GPU comm2 end: 1409838762047.37
CPU exe8 end: 1409838762050.765
CPU comm8 start: 1409838762050.851
CPU exe5 end: 1409838762051.883
CPU comm5 start: 1409838762051.945
CPU exe3 end: 1409838762052.354
CPU comm3 start: 1409838762052.453
CPU exe6 end: 1409838762057.463
