start: 1409838720554.454
GPU comm0 start: 1409838720557.691
GPU comm1 start: 1409838720557.971
CPU comm0 start: 1409838720558.101
CPU comm1 start: 1409838720558.214
CPU comm2 start: 1409838720558.328
CPU comm3 start: 1409838720558.5
CPU comm4 start: 1409838720558.58
CPU comm5 start: 1409838720558.739
CPU comm6 start: 1409838720558.926
GPU comm0 end: 1409838720558.58
CPU comm7 start: 1409838720559.184
CPU comm8 start: 1409838720559.321
CPU comm9 start: 1409838720559.457
CPU comm0 start: 1409838720559.624
CPU comm1 start: 1409838720559.713
CPU comm2 start: 1409838720560.715
CPU comm3 start: 1409838720560.886
CPU comm4 start: 1409838720561.131
CPU comm5 start: 1409838720561.179
CPU comm6 start: 1409838720561.297
CPU comm7 start: 1409838720561.331
CPU comm8 start: 1409838720561.364
CPU comm9 start: 1409838720561.417
CPU comm0 end: 1409838720559.304
CPU comm5 end: 1409838720561.456
CPU comm6 end: 1409838720562.025
CPU comm1 end: 1409838720559.753
CPU comm4 end: 1409838720563.865
CPU comm2 end: 1409838720564.273
CPU comm8 end: 1409838720566.643
CPU comm3 end: 1409838720564.842
CPU comm9 end: 1409838720566.01
CPU comm0 end: 1409838720570.138
CPU exe0 start: 1409838720570.281
CPU comm7 end: 1409838720569.64
CPU comm5 end: 1409838720570.751
CPU exe5 start: 1409838720570.83
CPU comm6 end: 1409838720570.988
CPU exe6 start: 1409838720571.029
CPU comm2 end: 1409838720570.998
GPU memcp start: 1409838720571.056
CPU exe2 start: 1409838720571.07
CPU comm1 end: 1409838720571.156
CPU exe1 start: 1409838720571.246
CPU comm8 end: 1409838720571.328
CPU exe8 start: 1409838720571.408
CPU comm4 end: 1409838720571.349
CPU exe4 start: 1409838720571.525
CPU comm3 end: 1409838720571.654
CPU exe3 start: 1409838720571.742
CPU comm9 end: 1409838720572.131
CPU exe9 start: 1409838720572.19
CPU comm7 end: 1409838720572.64
CPU exe7 start: 1409838720572.686
GPU memcp end: 1409838720579.077
GPU memcp start: 1409838720579.874
GPU memcp end: 1409838720587.277
GPU memcp start: 1409838720587.778
GPU memcp end: 1409838720595.323
GPU comm1 end: 1409838720595.606
GPU exe start: 1409838720595.701
GPU exe end: 1409838720602.453
GPU memcp start: 1409838720602.507
GPU memcp end: 1409838720602.675
GPU comm2 start: 1409838720602.703
GPU comm2 end: 1409838720603.321
GPU comm1 start: 1409838720603.581
GPU comm1 end: 1409838720603.708
GPU exe start: 1409838720603.744
GPU exe end: 1409838720614.267
GPU memcp start: 1409838720614.309
GPU memcp end: 1409838720614.466
GPU comm2 start: 1409838720614.49
GPU comm2 end: 1409838720614.589
GPU comm1 start: 1409838720614.65
GPU comm1 end: 1409838720614.762
GPU exe start: 1409838720614.795
CPU exe3 end: 1409838720628.76
CPU comm3 start: 1409838720628.813
CPU comm3 end: 1409838720629.618
CPU exe5 end: 1409838720629.966
CPU comm5 start: 1409838720629.995
CPU exe0 end: 1409838720629.966
CPU comm0 start: 1409838720630.061
CPU comm5 end: 1409838720630.214
CPU exe6 end: 1409838720630.219
CPU comm0 end: 1409838720630.277
CPU comm6 start: 1409838720630.3
GPU exe end: 1409838720630.421
GPU memcp start: 1409838720630.459
CPU comm6 end: 1409838720630.537
GPU memcp end: 1409838720630.664
GPU comm2 start: 1409838720630.687
GPU comm2 end: 1409838720630.746
GPU comm1 start: 1409838720630.797
CPU exe7 end: 1409838720630.85
CPU comm7 start: 1409838720630.902
CPU exe2 end: 1409838720630.92
GPU comm1 end: 1409838720630.937
CPU exe8 end: 1409838720630.965
CPU comm8 start: 1409838720630.995
GPU exe start: 1409838720631.041
CPU comm2 start: 1409838720630.953
CPU comm7 end: 1409838720631.109
CPU comm8 end: 1409838720631.238
CPU comm2 end: 1409838720631.28
CPU exe9 end: 1409838720631.573
CPU comm9 start: 1409838720631.599
CPU comm9 end: 1409838720631.786
CPU exe4 end: 1409838720633.769
CPU comm4 start: 1409838720633.794
CPU comm4 end: 1409838720633.997
CPU exe1 end: 1409838720634.056
CPU comm1 start: 1409838720634.085
CPU comm1 end: 1409838720634.311
CPU comm0 start: 1409838720634.469
CPU comm1 start: 1409838720634.521
CPU comm2 start: 1409838720634.608
CPU comm3 start: 1409838720634.636
CPU comm0 end: 1409838720634.648
CPU exe0 start: 1409838720634.801
CPU comm3 end: 1409838720634.831
CPU exe3 start: 1409838720634.872
CPU comm1 end: 1409838720634.675
CPU exe1 start: 1409838720634.926
CPU comm4 start: 1409838720634.697
CPU comm2 end: 1409838720634.713
CPU comm5 start: 1409838720635.007
CPU exe2 start: 1409838720635.052
CPU comm6 start: 1409838720635.083
CPU comm4 end: 1409838720635.084
CPU comm7 start: 1409838720635.168
CPU comm6 end: 1409838720635.277
CPU comm8 start: 1409838720635.32
CPU comm7 end: 1409838720635.351
