label	seq	cpu-only	gpu-only	cpu+gpu
bench1	1	1.99999137377027	22.3087676697517	19.6854781960229
bench2	1	3.75596934740247	76.131169276427	68.9958321030599
bench3	1	3.82623912897549	87.9507982694475	86.1686550445522
bench4	1	2.06257527271315	90.8787359592194	91.636723236338
