name	Fluidic	Boyer	jAWS
ATAX	0.849401665151723	0.852454199275039	0.91075134789338
BICG	0.839777128627652	0.826063857359738	0.938431435555085
SYRK	0.847331055545245	0.754086049863432	0.964492450400971
SYR2K	0.980841224773857	0.63022137081823	0.964507503731686
GEMM	0.690991705940938	0.932611802357612	0.971709172056359
2MM	0.675263554617693	0.958121794333616	0.975296128990026
CORR	0.008120301286993	0.007378333950514	0.009058638168815
