#name	Fluidic	Boyer et al.	jAWS
Mandelbrot	0.910694132675989	0.565836204446498	0.972602365731814
Nbody	0.815030333862744	0.599729430348357	0.95807033242051
Sobel-CorG	0.788716371087776	0.971908528464528	0.979710271974027
Random	0.937728702733301	0.271890702428738	0.971288031604236
