#name	seq	cpu-only	gpu-only	jAWS-noShare	jAWS-noCross	jAWS	Static Optimal	Fluidic	Boyer et al.
Mandelbrot	65623.831624349	42703.8486328125	5902.59928385417	26439.1540527344	5488.07202148438	5232.64664713541	5095.99202473958	5760.02504882812	8319.4728515625
Nbody	5261093.0859375	596667.479370117	68642.4931640625	75168.9870605469	85029.45703125	64364.3543294271	62051.6541992188	71102.1092285156	89689.3596679687
Sobel-CorG	11419.3644042969	1671.91479492187	883.667626953125	1430470.90073242	916.009399414062	913.439208984375	892.421305338542	984.086669921874	920.30126953125
Random	11481065.526123	1316010.24249268	29312.2430013021	10402555.277832	35941.0805053578	29092.4587402344	28985.2274414062	30600.9724121094	96409.0363769531
