#name	seq	cpu-only	gpu-only	jAWS-noShare	jAWS-noCross	jAWS	Static Optimal	Fluidic	Boyer et al.
atax	974.601171875	437.344198000938	604.694677734375	14191.4730879944	338.9671875	338.177001953125	287.528938992182	321.866943359375	320.6689453125
bicg	1033.0525390625	441.377670400834	604.445361328125	13381.6126191974	338.966162109375	338.87373046875	288.301378197502	315.305908203125	322.361083984375
syrk	69345.9915771484	7819.67700195312	50670.5014648438	16865.3966255006	6886.66533203125	6917.62890625	6806.21666750085	7183.37890625	8913.9150390625
syr2k	123474.443798828	13565.2518983994	106253.204407916	25471.6801710092	12634.3745685001	12634.3745685001	12105.8802646003	12683.5319824219	18599.0510253906
gemm	337145.36743164	37487.1959228516	3436.12561035156	4295.05284699554	3244.85336914063	3229.79760742188	3179.53960949671	4669.2861328125	3356.294921875
2mm	667453.5625	76090.5821533203	6752.33365885417	8362.8014441987	6397.15400390625	6404.02107747396	6258.4545243968	9324.5390625	6620.78198242188
correlation	191559.662255859	200760.880104414	17604.2651453987	19868.7214355468	17652.824625651	17661.3190917969	17652.287109375	17639.912109375	17625.5390625
