metric	power	core	freq
# monitoring
37	31.192139827592396	4	2.401
37	32.28075583937009	4	2.401
37	29.490080961513215	4	2.401
37	32.43748551518827	4	2.401
37	26.95953074273764	4	0.8
37	27.490357050183437	4	0.9
37	28.417260850308	4	2.401
36	29.04080889632735	4	2.401
37	28.29759033861282	4	2.401
36	28.645107537394882	4	2.401
37	29.41373928664113	4	2.401
37	29.8439883391187	4	2.401
37	26.87669440188245	4	2.401
36	29.27848232146209	4	2.401
37	30.005147684906586	4	2.401
38	29.176358554653152	4	2.401
37	29.039204994731502	4	2.401
37	28.744468104873416	4	1.1
37	32.299341334313326	4	1.8
36	27.089252679084073	4	2.401
37	33.60017313301623	4	2.4
37	29.516702714787264	4	1.3
37	26.636839952686035	4	0.8
37	28.17350072899414	4	2.401
37	28.72974480039781	4	2.401
37	28.577635634690985	4	2.401
38	30.50083542014846	4	2.401
37	30.805686492906087	4	2.401
37	31.549824020563303	4	2.401
37	28.479425158545535	4	1.8
37	29.871460025634736	4	2.401
37	31.687412977697853	4	2.401
37	29.784795837224642	4	2.401
37	29.96881072943884	4	2.3
36	29.306264464045505	4	1.3
36	28.793194351710206	4	2.401
37	31.159016861381374	4	1.5
36	32.06835208151361	4	2.401
37	31.337359923171476	4	2.1
36	30.649388150410157	4	2.401
37	30.23923746487817	4	2.401
37	31.415283222944336	4	2.401
37	32.27886189446144	4	2.401
37	29.501525314815105	4	2.401
37	30.734530129021692	4	1.3
37	29.422712638581192	4	2.401
37	32.71722771082488	4	2.401
38	32.41865200940561	4	2.401
37	29.294967687760888	4	1.3
37	27.44938693210248	4	2.401
37	28.30125681509238	4	2.401
37	28.621640841249974	4	2.401
37	30.268903785881363	4	2.401
36	29.522396492590573	4	0.9
37	29.71752401698333	4	2.401
37	30.51549353594065	4	2.401
37	27.716814039994325	4	2.401
38	32.33661646133168	4	2.401
37	27.599383629392612	4	2.401
36	32.139879220688705	4	2.401
37	31.012179789417367	4	2.401
37	31.94355601354151	4	2.401
38	30.35777851558939	4	2.401
37	27.61038616577813	4	2.401
38	31.941614781514694	4	2.401
37	31.34909811929831	4	2.3
38	30.24564425315376	4	2.401
37	32.43769993724494	4	2.401
37	31.876673159942378	4	2.401
38	29.919612583702417	4	1.4
37	27.26933863778699	4	1.3
37	30.214340999638722	4	1.9
37	33.72430401556784	4	2.401
37	33.18503748359316	4	2.401
37	30.287360625119263	4	1.4
36	34.95651021279861	4	1.5
37	29.398224598615727	4	1.1
38	31.515154186142787	4	2.401
36	29.396864181048112	4	2.401
36	27.479413263869805	4	2.401
