metric	power	core	freq
# searching
31	14.24644630846686	4	2.4
28	13.100733946298567	4	2.2
28	11.988890971431909	4	2.1
24	9.794216350488924	4	1.8
24	8.12824781546986	4	1.7
22	7.010541913345184	4	1.6
27	11.748228297256375	3	2.4
25	10.434224980221408	3	2.2
24	8.856787997397873	3	2.1
22	7.514990710794965	3	1.8
21	8.083148682245778	2	2.4
11	4.0457632100782845	1	2.4
# optimizer
# core: 4, freq: 1.7, Max: -8.12824781546986
# monitoring
23	8.582813898969956	4	1.7
23	8.956176278310553	4	1.7
23	8.910026317934681	4	1.7
24	7.242187232699141	4	1.7
23	8.480467274111483	4	1.7
24	6.744101907174081	4	1.7
24	8.437156885795284	4	1.7
24	7.94674593436166	4	1.7
23	8.692883742988606	4	1.7
23	8.511093713967718	4	1.7
23	7.901262278905104	4	1.7
24	8.515794774884117	4	1.7
24	8.366197177520263	4	1.7
23	8.20572719268772	4	1.7
24	8.624175161692786	4	1.7
23	7.764470548476516	4	1.7
23	7.6874533669250775	4	1.7
24	8.523797093285808	4	1.7
23	8.542561496065062	4	1.7
24	7.77154022414286	4	1.7
24	7.6971295657292815	4	1.7
24	8.102310365194842	4	1.7
24	7.628260041489698	4	1.7
23	7.682578486159533	4	1.7
23	8.313014156673441	4	1.7
23	8.12047889145014	4	1.7
23	7.463666513440237	4	1.7
24	8.567537504747605	4	1.7
23	7.465706609541291	4	1.7
22	7.411508514472338	4	1.7
23	6.981288059280773	4	1.7
23	7.450844281680942	4	1.7
24	8.301320025499603	4	1.7
23	7.99702659664648	4	1.7
23	8.403531442194557	4	1.7
23	7.759585934806606	4	1.7
23	8.673150864085162	4	1.7
23	7.839240940530449	4	1.7
23	9.047639343558979	4	1.7
23	7.655546683453508	4	1.7
24	7.2818961353943985	4	1.7
23	8.245838454034908	4	1.7
23	7.923384378635755	4	1.7
23	8.801393875426164	4	1.7
24	8.544668406611054	4	1.7
24	8.29286305074145	4	1.7
23	7.18373343606503	4	1.7
23	8.610790243801084	4	1.7
23	8.316011463055931	4	1.7
24	7.509451627708987	4	1.7
23	8.22426551052681	4	1.7
24	7.831704722424989	4	1.7
23	8.225889072141802	4	1.7
24	7.523492194460808	4	1.7
23	8.419598371670828	4	1.7
23	7.6786542695033635	4	1.7
24	8.634600270619151	4	1.7
24	8.450469775777632	4	1.7
23	7.95738581883449	4	1.7
24	8.277184374954883	4	1.7
23	8.337074082463928	4	1.7
24	7.0871285474747525	4	1.7
24	8.520400506249985	4	1.7
23	8.423295383620752	4	1.7
23	7.737143664796916	4	1.7
23	7.0277075269151625	4	1.7
23	8.291177148629908	4	1.7
24	8.765265686666991	4	1.7
