thput	power	delay	core	freq
# target: 8, count:50, datasize:1200, 
# searching
1.4740656602378666	22.218858502650836	0.6783958320002057	0-3	2400000,2400000,2400000,2400000
1.406288231044982	18.277712362650014	0.7110917789996165	0-3	2200000,2200000,2200000,2200000
1.2912869670686415	16.42465887147402	0.7744211980007094	0-3	2100000,2100000,2100000,2100000
1.155614120332924	13.25881033647218	0.8653407589999915	0-3	1800000,1800000,1800000,1800000
1.0947925889436805	12.79204707629778	0.9134150250001767	0-3	1700000,1700000,1700000,1700000
1.0281684397724131	11.274271012301757	0.9726032830003533	0-3	1600000,1600000,1600000,1600000
0.9529931733472663	10.615310906488524	1.0493254600005457	0-3	1500000,1500000,1500000,1500000
0.8984371854071734	9.979320060373084	1.113043867999295	0-3	1400000,1400000,1400000,1400000
0.8323457911206269	9.3738982758992	1.2014237479997973	0-3	1300000,1300000,1300000,1300000
0.7019496392917565	7.204023510195623	1.4246036239992463	0-3	1100000,1100000,1100000,1100000
# found coreIdx: 3, freqIdx: 1
1.148087513352078	15.608705534764356	0.8710137409998424	0-2	2400000,2400000,2400000,
1.0532394511073746	13.711205989165235	0.9494517120001547	0-2	2200000,2200000,2200000,
1.0057426021846751	13.468074185068085	0.9942901869999332	0-2	2100000,2100000,2100000,
0.8666477877841645	10.9176249726354	1.1538712890005627	0-2	1800000,1800000,1800000,
0.8226999671096786	10.409584839640388	1.215509955000016	0-2	1700000,1700000,1700000,
0.7748088469865502	8.95139760159003	1.2906409160004841	0-2	1600000,1600000,1600000,
0.7227879019339873	8.261152029155888	1.3835317350003606	0-2	1500000,1500000,1500000,
0.6724282583687341	7.418585605729569	1.48714749499959	0-2	1400000,1400000,1400000,
0.7726418462844037	11.74614638891942	1.2942607299992233	0-1	2400000,2400000,,
0.7088160747948758	9.877263400257188	1.410803219000627	0-1	2200000,2200000,,
0.6777141206926268	9.531843760163088	1.4755484200004503	0-1	2100000,2100000,,
0.5817897508745212	7.372935407949499	1.7188339919994178	0-1	1800000,1800000,,
0.38838771049588006	6.687835189905183	2.574746762000359	0	2400000,,,
# monitoring
0.8627055924158489	10.149112734862289	1.1591439869998794	0-3	1100000,1800000,1400000,1100000
0.5250882701735773	5.2245064677481485	1.9044417040004191	0-3	1100000,1100000,1100000,1100000
0.5263899071119761	5.240092034791012	1.8997324729998581	0-3	1100000,1100000,1100000,1100000
0.5288149164439881	5.279402036907002	1.891020787999878	0-3	1100000,1100000,1100000,1100000
0.5306838685054621	5.325139318260102	1.8843610280000576	0-3	1100000,1100000,1100000,1100000
0.5308642421235076	5.089317452194364	1.8837207719998332	0-3	1100000,1100000,1100000,1100000
0.517213487056903	5.251938842767808	1.9334375940006794	0-3	1100000,1100000,1100000,1100000
0.528959309559233	5.3307567090619745	1.8905045849996895	0-3	1100000,1100000,1100000,1100000
0.5321115362843439	5.095331392101889	1.8793052430000898	0-3	1100000,1100000,1100000,1100000
0.53011796909184	5.2090621516654325	1.8863725780001914	0-3	1100000,1100000,1100000,1100000
0.7079099826932029	6.402169400900974	1.4126089820001653	0-3	1100000,1100000,1100000,1100000
0.7074051422122539	6.829584938266599	1.413617092000095	0-3	1100000,1100000,1100000,1100000
0.7087753288471359	6.680285439670523	1.4108843230005732	0-3	1100000,1100000,1100000,1100000
0.7036167038435645	6.574805565725883	1.421228340000198	0-3	1100000,1100000,1100000,1100000
0.7077526227191675	6.543990451317815	1.4129230580001604	0-3	1100000,1100000,1100000,1100000
0.7067698385056195	6.474812490938868	1.4148877690004156	0-3	1100000,1100000,1100000,1100000
0.7065666807265459	6.398085649714573	1.415294589000041	0-3	1100000,1100000,1100000,1100000
0.7080348809364002	6.824818312799166	1.4123597959996914	0-3	1100000,1100000,1100000,1100000
0.7056102035683945	6.630944369235743	1.4172130659999311	0-3	1100000,1100000,1100000,1100000
0.7047777862245692	6.552402947086908	1.4188869449999402	0-3	1100000,1100000,1100000,1100000
0.6973360456946791	6.393112014676578	1.4340288389994384	0-3	1100000,1100000,1100000,1100000
0.6979999271370108	6.706788837890355	1.4326649060003547	0-3	1100000,1100000,1100000,1100000
0.7060135975465346	6.551137590355109	1.4164033150000177	0-3	1100000,1100000,1100000,1100000
0.529069580769671	5.274872923744582	1.8901105569993961	0-3	1100000,1100000,1100000,1100000
0.5301356514976784	5.294043823800286	1.8863096589993802	0-3	1100000,1100000,1100000,1100000
0.5249058815014711	5.250180538883692	1.9051034390004207	0-3	1100000,1100000,1100000,1100000
0.5267004166110698	5.246236895384419	1.8986125100000208	0-3	1100000,1100000,1100000,1100000
