metric	power	core	freq
# monitoring
12	3.040627312777624	4	0.8
12	3.186418060135604	4	0.8
12	3.1952279280233222	4	0.8
12	3.0521583606466662	4	0.8
12	3.1614032422073532	4	0.8
12	2.8101625540268462	4	0.8
12	2.9164905546658275	4	0.8
12	2.7762962733855754	4	0.8
11	2.9255072495014245	4	0.8
12	2.9756260054179178	4	0.8
12	2.7005250206853892	4	0.8
12	2.7692257810011376	4	0.8
12	2.7093463687423225	4	0.8
12	2.788659191018542	4	0.8
12	2.8831271571573267	4	0.8
11	2.853303617945063	4	0.8
12	2.85016187626521	4	0.8
12	2.7798952126086425	4	0.8
12	2.8665170411207037	4	0.8
12	2.7117329464719053	4	0.8
12	2.740250906494562	4	0.8
12	2.893572756569968	4	0.8
12	2.690021484541545	4	0.8
12	2.7620291286005396	4	0.8
12	2.6969969695404536	4	0.8
12	2.769875872676543	4	0.8
12	2.8286610546770543	4	0.8
12	2.7794722356531514	4	0.8
12	2.823358246366021	4	0.8
12	2.757360306604959	4	0.8
12	2.7283204678848247	4	0.8
12	2.751893016439134	4	0.8
12	2.864603781116913	4	0.8
12	2.785741180975123	4	0.8
12	2.7497733404101146	4	0.8
12	2.9338062286511715	4	0.8
12	2.8332247730916253	4	0.8
12	2.7438854128280585	4	0.8
12	2.8782325849405144	4	0.8
12	2.7271152276160344	4	0.8
12	2.7826421385539613	4	0.8
12	2.8387225103423153	4	0.8
12	2.8694825552255447	4	0.8
12	2.6662142294716085	4	0.8
12	2.78239450613609	4	0.8
12	2.781600604302789	4	0.8
12	2.7980750524548634	4	0.8
12	2.5346107962696864	4	0.8
12	2.898505923126484	4	0.8
12	2.804837019501598	4	0.8
12	2.745963482246604	4	0.8
12	2.7486130876361945	4	0.8
12	2.5810325306884327	4	0.8
12	2.736567150097712	4	0.8
12	2.8229880989388842	4	0.8
12	2.9342657904624043	4	0.8
12	2.633423383385352	4	0.8
12	2.5831208856129186	4	0.8
12	2.6684734664694143	4	0.8
11	2.7663849166100265	4	0.8
12	2.738189829642567	4	0.8
12	2.640820543592542	4	0.8
12	2.8573332447959747	4	0.8
12	2.7496180705069078	4	0.8
12	2.5764782782357343	4	0.8
12	2.6893473003081634	4	0.8
12	2.8262983273997144	4	0.8
12	2.6280023338358935	4	0.8
12	2.5634503160812634	4	0.8
12	2.740882445976493	4	0.8
12	2.7847482869962765	4	0.8
12	2.6673511797484912	4	0.8
12	2.7692756670250533	4	0.8
12	2.713408596375899	4	0.8
12	2.769616830505182	4	0.8
12	2.7686058952707775	4	0.8
12	2.807393274330448	4	0.8
12	2.7703850337481684	4	0.8
12	2.742330697831652	4	0.8
12	2.7168544641185277	4	0.8
