name	col1	col2	col3	col4	col5
HM1	1	0.900124459	0.74147408	0.620965455	0.468804723
HM2	1	0.894647117	0.692998922	0.580916103	0.435136216
HM3	1	0.886017091	0.701235319	0.590103327	0.412182104
HM4	1	0.877726751	0.583570282	0.484774043	0.383609749
HM5	1	0.872307666	0.657837611	0.563977109	0.35710325
HM6	1	0.872496303	0.586721157	0.500319749	0.372540011
HM7	1	0.886070709	0.621594221	0.514341103	0.41529623
HM8	1	0.879328821	0.812752651	0.708020244	0.417980482
