name	col1	col2	col3	col4	col5
HM1	1	1.058019674	1.266713789	1.302291335	1.465217647
HM2	1	1.061504074	1.311269738	1.343067272	1.520513375
HM3	1	1.067236014	1.320547152	1.348990374	1.567995947
HM4	1	1.072877667	1.454767088	1.486373531	1.632477144
HM5	1	1.076104311	1.399361362	1.41309207	1.691325173
HM6	1	1.075834085	1.460955816	1.479531109	1.65509468
HM7	1	1.06772678	1.404336827	1.441633538	1.567546079
HM8	1	1.071029668	1.245375218	1.256369983	1.552879581
