name	col1	col2	col3
Mandelbrot	5232.646647	5760.025049	8319.472852
Nbody	64364.35433	71102.10923	89689.35967
Sobel-CorG	913.439209	984.0866699	920.3012695
Random	29092.45874	30600.97241	96409.03638
